region,year,manufacturer,model,fuel,odometer,title_status,transmission,state,lat,long,price_category
chattanooga,2020.0,ram,2500 crew cab big horn,diesel,27442.0,clean,other,tn,35.06,-85.25,high
north jersey,2016.0,ford,explorer 4wd 4dr xlt,,60023.0,clean,automatic,nj,40.821805,-74.061962,medium
reno / tahoe,2017.0,volkswagen,golf r hatchback,gas,14048.0,clean,other,ca,33.779214,-84.411811,high
fayetteville,2013.0,toyota,rav4,gas,117291.0,clean,automatic,nc,35.715954,-78.655304,medium
new york city,2021.0,nissan,altima,gas,8000.0,clean,automatic,ny,40.6548,-73.6097,medium
knoxville,2012.0,bmw,1 series 128i coupe 2d,other,80465.0,clean,other,tn,35.97,-83.94,medium
des moines,2015.0,ford,fusion se,gas,149000.0,clean,automatic,ia,41.373,-93.7358,low
roanoke,2003.0,honda,accord,gas,145087.0,clean,automatic,va,37.3029,-79.9322,low
grand rapids,2014.0,dodge,charger,gas,94535.0,clean,automatic,mi,42.914352,-85.730042,medium
omaha / council bluffs,2016.0,nissan,altima,gas,87000.0,clean,automatic,ia,41.086731,-95.909271,medium
rhode island,2009.0,mitsubishi,galant,gas,130000.0,clean,automatic,ri,41.811684,-71.407074,low
cincinnati,2012.0,fiat,500 pop,gas,59242.0,,manual,oh,39.297045,-84.563243,low
jacksonville,2007.0,lincoln,town car,gas,196000.0,clean,automatic,fl,30.1637,-81.7291,low
seattle-tacoma,1994.0,ford,"e-series van universal by glaval designer luxury series conversion leather 16"" dvd limo lighting bed",gas,156925.0,clean,automatic,wa,45.391373,-122.613533,medium
redding,2016.0,dodge,g. caravan se,gas,73562.0,clean,automatic,ca,40.586329,-122.393067,medium
hawaii,2004.0,chevrolet,silverado 2500hd 4x4,diesel,113000.0,clean,automatic,hi,21.6312,-158.0693,high
salina,2014.0,ford,mustang,gas,72349.0,clean,automatic,ks,39.0299,-96.8396,high
billings,2017.0,nissan,maxima sv,gas,73135.0,clean,automatic,mt,47.696062,-116.781406,medium
fresno / madera,2013.0,honda,civic,gas,136142.0,clean,manual,ca,36.774617,-119.791164,medium
charleston,2010.0,ford,explorer,gas,0.0,clean,automatic,sc,32.853069,-79.971987,low
inland empire,2005.0,saturn,vue v6,gas,108000.0,clean,automatic,ca,33.9605,-117.0452,low
madison,1970.0,other,oldsmobile 442,gas,111111.0,clean,automatic,wi,43.0984,-89.2734,high
modesto,2018.0,chevrolet,tahoe,gas,33000.0,clean,automatic,ca,37.8134,-121.2132,high
south jersey,2000.0,ford,f-350,diesel,200000.0,clean,automatic,nj,39.9723,-75.0607,high
phoenix,2008.0,ford,f150,gas,110310.0,clean,automatic,az,33.624243,-112.010365,medium
new haven,2012.0,mini,clubman,gas,67200.0,clean,manual,ct,41.512139,-73.021803,low
ft myers / SW florida,2013.0,cadillac,xts sedan 4d,gas,37938.0,clean,other,fl,26.63,-81.85,medium
tyler / east TX,2003.0,dodge,3500,diesel,283466.0,clean,automatic,tx,31.27,-94.6469,medium
charlotte,2008.0,ram,2500 4x4,gas,94000.0,rebuilt,manual,nc,35.378,-80.524,medium
corpus christi,2017.0,nissan,rogue,gas,86496.0,clean,automatic,tx,30.1237,-95.2686,medium
appleton-oshkosh-FDL,2012.0,chevrolet,silverado 1500,gas,114590.0,clean,automatic,wi,44.227258,-88.467902,medium
las vegas,2016.0,jeep,compass 4x4,gas,84116.0,rebuilt,automatic,nv,40.74621,-111.939955,low
eugene,2001.0,toyota,camry solara 2dr cpe se v6 auto (natl),,193242.0,clean,automatic,or,44.076513,-123.150156,low
kennewick-pasco-richland,2019.0,ford,f450 deisel power stroke,diesel,41759.0,clean,automatic,wa,46.234838,-119.128015,high
syracuse,2014.0,chevrolet,silverado,gas,133000.0,clean,automatic,ny,43.163323,-76.094254,medium
chattanooga,2018.0,jeep,renegade,gas,55098.0,clean,automatic,tn,36.006832,-84.014656,medium
stockton,2017.0,kia,forte5,gas,39601.0,clean,automatic,ca,38.64104,-121.428661,medium
chattanooga,2001.0,ford,f-150,gas,126000.0,clean,automatic,tn,35.025,-85.1459,low
danville,2018.0,jeep,wrangler unlimited all new,other,5933.0,clean,other,va,36.58,-79.4,high
greenville / upstate,2018.0,mazda,mazda3 touring sedan 4d,gas,18553.0,clean,other,sc,34.83,-82.37,medium
philadelphia,2014.0,bmw,535i,gas,112336.0,clean,automatic,pa,40.81603,-73.46397,medium
